SN,Commodity,Year,Import Quantity,Import Value,Export Quantity,Export Value
1,Durum wheat,2009,0,0,0,0
2,Durum wheat,2010,0,0,0,0
3,Durum wheat,2011,0,0,0,0
4,Durum wheat,2012,0,0,0,0
5,Durum wheat,2013,8869475,246191618,0,0
6,Durum wheat,2014,86956735,2076826839,0,0
7,Durum wheat,2015,57588145,1456372670,0,0
8,Durum wheat,2016,72558962,2045591602,0,0
9,Durum wheat,2017,59355693,1487277271,0,0
10,Durum wheat,2018,65372738,1872016415,0,0
11,Durum wheat2,2009,110670,333552,20600,20600
12,Durum wheat2,2010,88585,704762,75000,637923
13,Durum wheat2,2011,257875,2037479,0,0
14,Durum wheat2,2012,2082574,37746215,700,23350
15,Durum wheat2,2013,25859564,618600409,0,0
16,Durum wheat2,2014,0,0,0,0
17,Durum wheat2,2015,0,0,0,0
18,Durum wheat2,2016,0,0,0,0
19,Durum wheat2,2017,0,0,0,0
20,Durum wheat2,2018,0,0,0,0
21,Canary Seed,2009,0,0,0,0
22,Canary Seed,2010,30,1030,0,0
23,Canary Seed,2011,220,4182,0,0
24,Canary Seed,2012,50,861,0,0
25,Canary Seed,2013,200,14350,0,0
26,Canary Seed,2014,0,0,2944,233421
27,Canary Seed,2015,0,0,0,0
28,Canary Seed,2016,0,0,500,10000
29,Canary Seed,2017,0,0,0,0
30,Canary Seed,2018,0,0,0,0
31,Oat,2009,1287603,8863580,0,0
32,Oat,2010,550,13541,20238,2084131
33,Oat,2011,52283,810694,0,0
34,Oat,2012,211424,4073384,11521,1284416
35,Oat,2013,5210,138464,0,0
36,Oat,2014,0,0,0,0
37,Oat,2015,0,0,0,0
38,Oat,2016,0,0,0,0
39,Oat,2017,0,0,0,0
40,Oat,2018,0,0,0,0
41,Oat2,2009,0,0,,
42,Oat2,2010,0,0,,
43,Oat2,2011,0,0,,
44,Oat2,2012,0,0,,
45,Oat2,2013,1207,63934,,
46,Oat2,2014,4660,371534,,
47,Oat2,2015,20700,1064145,,
48,Oat2,2016,30700,1601391,,
49,Oat2,2017,4900,1017160,,
50,Oat2,2018,1452,333522,,
51,Oat seed,2009,0,0,0,0
52,Oat seed,2010,0,0,0,0
53,Oat seed,2011,0,0,0,0
54,Oat seed,2012,0,0,0,0
55,Oat seed,2013,310,5526,0,0
56,Oat seed,2014,200,10763,0,0
57,Oat seed,2015,1945,71277,0,0
58,Oat seed,2016,1110,78672,0,0
59,Oat seed,2017,0,0,0,0
60,Oat seed,2018,0,0,0,0
61,Wheat and Meslin seed,2009,0,0,0,0
62,Wheat and Meslin seed,2010,0,0,0,0
63,Wheat and Meslin seed,2011,0,0,0,0
64,Wheat and Meslin seed,2012,0,0,0,0
65,Wheat and Meslin seed,2013,9375458,235298119,0,0
66,Wheat and Meslin seed,2014,9146326,242006530,0,0
67,Wheat and Meslin seed,2015,7171717,182976797,0,0
68,Wheat and Meslin seed,2016,14091982,376787076,0,0
69,Wheat and Meslin seed,2017,7069684,195215696,0,0
70,Wheat and Meslin seed,2018,150000,3771533,0,0
71,Barley,2009,0,0,,
72,Barley,2010,0,0,,
73,Barley,2011,0,0,,
74,Barley,2012,0,0,,
75,Barley,2013,0,0,,
76,Barley,2014,1070,33570,,
77,Barley,2015,0,0,,
78,Barley,2016,48980,1708810,,
79,Barley,2017,46975,1784066,,
80,Barley,2018,1490,72500,,
81,Maize seed,2009,1579122,30392860,2000,80000
82,Maize seed,2010,9632313,171830453,0,0
83,Maize seed,2011,2792383,191956765,0,0
84,Maize seed,2012,3149848,158412208,550,9779
85,Maize seed,2013,1368796,198618526,0,0
86,Maize seed,2014,1515037,243147281,1460,48245
87,Maize seed,2015,1316943,155427928,508,32290
88,Maize seed,2016,1654043,265825460,15455,385211
89,Maize seed,2017,51714738,273571468,156,6284
90,Maize seed,2018,1478421,265059053,240,28339
91,Millet seed,2009,0,0,0,0
92,Millet seed,2010,0,0,0,0
93,Millet seed,2011,0,0,0,0
94,Millet seed,2012,0,0,0,0
95,Millet seed,2013,685740,17330962,1988,117291
96,Millet seed,2014,779225,20083921,51900,2976109
97,Millet seed,2015,1341225,34818491,30184,1773097
98,Millet seed,2016,1552300,40003919,31665,1316201
99,Millet seed,2017,1022337,29749209,6700,543130
100,Millet seed,2018,2017962,57958427,22203,1316474
101,Durum wheat seed,2009,0,0,,
102,Durum wheat seed,2010,0,0,,
103,Durum wheat seed,2011,0,0,,
104,Durum wheat seed,2012,0,0,,
105,Durum wheat seed,2013,8631620,217186570,,
106,Durum wheat seed,2014,90724,2265710,,
107,Durum wheat seed,2015,989045,29848735,,
108,Durum wheat seed,2016,981715,28416465,,
109,Durum wheat seed,2017,192256,5228188,,
110,Durum wheat seed,2018,181016,4543570,,
111,Buckwheat,2009,151586,1933213,1389475,18583923
112,Buckwheat,2010,88927,1166256,1251525,14754569
113,Buckwheat,2011,111252,2142479,975000,12900141
114,Buckwheat,2012,649499,8997433,861726,11993165
115,Buckwheat,2013,2137100,42394506,320876,5869144
116,Buckwheat,2014,507910,13708179,588398,12229489
117,Buckwheat,2015,3172641,82778432,362000,7721356
118,Buckwheat,2016,5058063,138825382,387000,7850000
119,Buckwheat,2017,787140,24976445,484000,9680000
120,Buckwheat,2018,474960,28175537,681435,13999099
121,Rice in husk,2009,5149660,53873554,5317,85000
122,Rice in husk,2010,24337749,402530472,5399,515600
123,Rice in husk,2011,65840393,849027933,0,0
124,Rice in husk,2012,249971277,4254207274,43817,1445670
125,Rice in husk,2013,217066300,4517362808,0,0
126,Rice in husk,2014,233859385,6282690997,0,0
127,Rice in husk,2015,241712318,6391544963,80,5886
128,Rice in husk,2016,125133900,3314035127,0,0
129,Rice in husk,2017,186345963,4884246034,4720,424740
130,Rice in husk,2018,237505578,6699437198,10680,4310448
131,Husked (Brown rice),2009,46245,490065,8600,218736
132,Husked (Brown rice),2010,2240931,25884949,0,0
133,Husked (Brown rice),2011,1297065,43926000,0,0
134,Husked (Brown rice),2012,2208395,127805778,288,41004
135,Husked (Brown rice),2013,717261,46524105,600,12000
136,Husked (Brown rice),2014,775700,58588116,0,0
137,Husked (Brown rice),2015,3139401,92281758,0,0
138,Husked (Brown rice),2016,7063131,363761713,570,193394
139,Husked (Brown rice),2017,374974,21759016,1000,113465
140,Husked (Brown rice),2018,404021,29622325,2546,416739
141,"Semi milled or wholly milled rice, whether or not polished or glazed",2009,506970,24169500,506970,24169500
142,"Semi milled or wholly milled rice, whether or not polished or glazed",2010,349980,11829300,349980,11829300
143,"Semi milled or wholly milled rice, whether or not polished or glazed",2011,300000,6000000,300000,6000000
144,"Semi milled or wholly milled rice, whether or not polished or glazed",2012,701525,24618047,701525,24618047
145,"Semi milled or wholly milled rice, whether or not polished or glazed",2013,173312,3143650,173312,3143650
146,"Semi milled or wholly milled rice, whether or not polished or glazed",2014,348949396,14551368113,123000,8276460
147,"Semi milled or wholly milled rice, whether or not polished or glazed",2015,328240504,14361959785,0,0
148,"Semi milled or wholly milled rice, whether or not polished or glazed",2016,427438136,20749671652,0,0
149,"Semi milled or wholly milled rice, whether or not polished or glazed",2017,420411440,20070201247,385,134959
150,"Semi milled or wholly milled rice, whether or not polished or glazed",2018,548287575,25689314213,28,3674
