Price of Rice - Wholesale in INR per 100 KG in Patna, , India

Date,Price
January-2000,800
February-2000,810
March-2000,825
April-2000,800
May-2000,800
June-2000,800
July-2000,807.5
August-2000,815
November-2000,815
December-2000,750
January-2001,712.5
February-2001,900
March-2001,900
April-2001,700
May-2001,900
June-2001,750
July-2001,733.3299999999999
August-2001,705
September-2001,733.3299999999999
October-2001,740
November-2001,750
December-2001,750
January-2002,750
February-2002,725
March-2002,700
April-2002,700
May-2002,675
June-2002,683.3299999999999
July-2002,700
August-2002,737.5
September-2002,749.9999999999999
October-2002,750
November-2002,737.5
December-2002,700
January-2003,700
February-2003,700
March-2003,700
April-2003,725
May-2003,762.5
June-2003,750
July-2003,750
August-2003,750
September-2003,775.0000000000001
October-2003,737.5
November-2003,700
December-2003,700.0000000000001
January-2004,700
February-2004,700
March-2004,700
April-2004,700
May-2004,725
June-2004,750
July-2004,750
August-2004,750.0000000000001
September-2004,750
October-2004,950
November-2004,950
December-2004,950
January-2005,950
February-2005,950
March-2005,975
April-2005,1000
May-2005,1000
June-2005,910
July-2005,900
August-2005,960
September-2005,900
October-2005,900
November-2005,937.5
December-2005,1050
January-2006,1050
February-2006,1050
March-2006,1050
April-2006,1050
May-2006,1050
June-2006,1068.75
July-2006,975
August-2006,950
September-2006,950
October-2006,950
November-2006,950
December-2006,950
January-2007,950
February-2007,933.75
March-2007,978.75
April-2007,1000
May-2007,1050
June-2007,1050
July-2007,1050
August-2007,1090
September-2007,1100
October-2007,1130
November-2007,1175
December-2007,1200
January-2008,1300
February-2008,1350
March-2008,1310
April-2008,1220
May-2008,1136.67
June-2008,1080
July-2008,1090
August-2008,1100
September-2008,1100
October-2008,1100
November-2008,1100
December-2008,1100
January-2009,1100
February-2009,1100
March-2009,1100
April-2009,1100
May-2009,1100
June-2009,1099.9999999999995
July-2009,1100
August-2009,1100
September-2009,1100
October-2009,1156.25
November-2009,1200
December-2009,1218.75
January-2010,1249.9999999999998
February-2010,1250.0000000000005
March-2010,1346.4300999999991
April-2010,1600
May-2010,1600
June-2010,1600.0000000000002
July-2010,1701.8198999999993
August-2010,1800.9499999999994
September-2010,1913.8100999999997
October-2010,1967.0000000000005
November-2010,1999.9999999999995
December-2010,1999.9999999999998
January-2011,2000
February-2011,2000
March-2011,1999.9999999999995
April-2011,1999.9999999999998
May-2011,2000
June-2011,2000
July-2011,2000.0000000000005
August-2011,2105
September-2011,2300
October-2011,2306.9199
November-2011,2310
December-2011,2310.0000000000005
January-2012,2310
February-2012,2310
March-2012,2310
April-2012,2319.2299999999996
May-2012,2324.9999999999995
June-2012,2324.999999999999
July-2012,2325
August-2012,2325.000000000001
September-2012,2325.000000000001
October-2012,2325.000000000001
November-2012,2325.0000000000005
December-2012,2325
January-2013,2325.000000000001
February-2013,2324.999999999999
March-2013,2325
April-2013,2387.5
May-2013,2585.7099999999996
June-2013,2746.669900000001
July-2013,3000.000000000001
August-2013,2999.999999999999
September-2013,3000
October-2013,2999.9999999999995
November-2013,2735.290000000001
December-2013,2650
January-2014,2650
February-2014,2650.000000000001
March-2014,2649.999999999999
April-2014,2675
May-2014,2785.289999999999
June-2014,2800
July-2014,2799.999999999999
August-2014,2800.000000000001
September-2014,2893.3301
October-2014,2255.5600999999997
November-2014,2293.7500000000027
December-2014,2168.419900000001
January-2015,2100.000000000001
February-2015,2100
March-2015,2300
April-2015,2299.9999999999995
May-2015,2300.000000000001
June-2015,2494.120099999999
July-2015,2300
August-2015,2300
September-2015,2440
October-2015,2400
November-2015,2400
December-2015,2400
January-2016,2399.9999999999986
February-2016,2400.000000000001
March-2016,2404.549999999999
April-2016,2477.269999999999
May-2016,2500.000000000002
June-2016,2403.999999999999
July-2016,2400
August-2016,2400
September-2016,2400
October-2016,2400.000000000001
November-2016,2382.689900000001
December-2016,2480
January-2017,2449.999999999999
February-2017,2400.000000000001
March-2017,2400
April-2017,2400.000000000002
May-2017,2507.139900000001
June-2017,2600.000000000001
July-2017,2722.580099999999
August-2017,2896.769999999999
September-2017,2999.999999999999
October-2017,3000
November-2017,3000
December-2017,3000.000000000001
January-2018,3185.1898999999994
February-2018,3200.000000000001
March-2018,3199.999999999999
April-2018,3200
May-2018,3199.999999999999
June-2018,3199.999999999999
July-2018,2961.539999999999
August-2018,3072
September-2018,3099.999999999999
October-2018,3147.620100000001
November-2018,3155
December-2018,3200.000000000001
January-2019,3199.999999999999
February-2019,3200
March-2019,3200.0000000000005
April-2019,3114.290000000001
May-2019,3200
June-2019,3200.000000000002
